system:index,DEM_slope,L4,NDMI_max,NDMI_mean,NDMI_min,NDMI_slope,NDMI_stdDev,NDVI_max,NDVI_mean,NDVI_min,NDVI_slope,NDVI_stdDev,Relative_elevation_100,TCB_max,TCB_mean,TCB_min,TCB_slope,TCB_stdDev,TCG_max,TCG_mean,TCG_min,TCG_slope,TCG_stdDev,TCW_max,TCW_mean,TCW_min,TCW_slope,TCW_stdDev,.geo
0000000000000000059d_0,12.498946,1,0.8947368,0.6141149,0.21654502,-832.7053275058244,0.17436779813291184,0.16622691,-0.250207,-0.58878505,-391.3654507817504,0.16163812839094502,31.415394,0.32782707,0.08797793,0.03901752,36.24497849850379,0.04118584700842828,0.00398632,-0.023732632,-0.04177745,-19.961289364207165,0.008912945658874882,0.039201353,0.015866106,-0.0053588767,3.460049991192261,0.008617298633787395,
000000000000000005a2_0,0.04489693,1,0.8057143,0.3951778,-0.028154327,304.7715240555586,0.180509045785951,0.2994186,-0.07891767,-0.48339483,310.25569359245213,0.1687209556514998,37.07189,0.16609208,0.04963585,0.01673537,95.76067852079865,0.02515436044229304,0.01100046,-0.007868404,-0.02636175,20.293138818928956,0.005975551595314011,0.014075219,0.002375785,-0.034280665,7.162923595257505,0.006801642493559341,
000000000000000005a8_0,0.04241472,1,0.8930041,0.5884986,0.25157234,-1098.859661409083,0.16540011734535273,0.5479452,-0.09264301,-0.42331287,-939.8466515545292,0.17781346096055684,116.13892,0.19225863,0.06333476,0.02807459,100.59691139607911,0.025352908370772115,0.0285769,-0.011874624,-0.03149066,-66.34402713470479,0.008691185948164426,0.026878292,0.008502912,-0.006207028,18.231227959328756,0.005529087486224658,
000000000000000005b7_0,0.06463491,1,0.82287824,0.3363152,-0.5813953,-1252.3591702941856,0.27441907003880284,0.07258064,-0.2825324,-0.7244898,-546.9110536344336,0.19376578842984685,3.2512186,0.18507329,0.054549266,0.01275495,108.11565344022702,0.02942226850611747,-0.00729799,-0.020330781,-0.06167388,-42.65812323747986,0.009899117407428815,0.022704223,0.0030420686,-0.062257245,-5.701796031163743,0.010597279212883634,
000000000000000005b9_0,0.15202262,1,0.8566978,0.4901926,0.07692308,-752.6763391530594,0.17910733492214842,0.36997318,0.046646886,-0.23728813,-151.88929519497083,0.11828437979971325,4.7035785,0.27949744,0.049757905,0.0181905,-80.08797901217494,0.03162454117256316,0.01161897,-0.0029297972,-0.01101856,9.214140019761725,0.004021210977343845,0.048471253,0.0031821467,-0.032082353,-15.081760801575095,0.0082305618005483,
000000000000000005ba_0,0.0943025,1,0.83229816,0.483163,0.09157846,-182.17136396901677,0.1811792575405494,0.41127348,0.031802583,-0.31632653,-100.53315616463203,0.14946637168176805,20.895548,0.39068758,0.05489818,0.0211233,-57.798483956962436,0.046827403500037855,0.03593523,-0.0031780545,-0.02619564,-2.2015310171858546,0.007532544538885901,0.038350247,0.002275792,-0.06936164,30.262564775253587,0.011926246451906639,
000000000000000005be_0,0.06063617,1,0.84045583,0.49523628,0.054298643,-717.0997789760193,0.17327246844483002,0.53053594,-0.20519745,-0.6256499,-143.78679730009168,0.1857938788137073,202.72961,0.36524394,0.08295888,0.0368324,94.07169417694377,0.04748453443402222,0.09698621,-0.015003026,-0.03881655,11.06326413028422,0.014453761899817974,0.048332438,0.00797831,-0.15343878,0.415608324834533,0.017728125124373276,
000000000000000005c0_0,0.09551975,1,0.9291553,0.55927706,0.13690476,254.72722750589736,0.1663901744203991,0.6719706,0.10005019,-0.3197279,644.6353730771251,0.16839843054806092,19.253513,0.14360818,0.04937319,0.02352184,47.87211805085781,0.02015370510913696,0.03740123,-8.706649E-6,-0.01282714,57.31294124929863,0.00864383238786083,0.016618853,0.004986463,-0.0086609265,22.189625890831,0.004985994821711888,
000000000000000005c1_0,0.31717268,1,0.9170732,0.5064743,0.093247585,-500.0886182619959,0.18139482978598992,0.41911766,0.105021015,-0.20491803,996.4720670640492,0.13144988854167902,21.419056,0.15629204,0.056155536,0.0209625,-72.91497236165978,0.028435500701318683,0.03103808,-3.588236E-4,-0.01195537,50.2130825421996,0.006734602019122193,0.014194129,0.0010856942,-0.054486945,-12.66119537675453,0.011287547647262097,
000000000000000005c2_0,0.19821553,1,0.9539347,0.47114992,0.13494319,-331.2922570216962,0.14617397299077775,0.90123457,0.21022548,-0.07641196,122.62988394557041,0.14061138657035846,21.890686,0.15897942,0.053212754,0.02902999,-39.4483214359879,0.02467315653706481,0.0305292,0.0050890953,-0.00708682,-0.12748736701691593,0.006427831831577738,0.014716407,3.8719032E-4,-0.0398048,-22.169497157791007,0.007423132945342805,
000000000000000005c3_0,0.08678486,1,0.8286938,0.40663305,0.0931677,-786.3428217688448,0.15703549516652432,0.49579832,0.24174038,-0.04901961,-186.6446385739383,0.1281980097051441,15.844115,0.21410841,0.05664406,0.0156943,-26.881955645605505,0.03572982706013706,0.04686589,0.0058283866,-0.01311018,6.1880966793165255,0.00821967525666944,0.030428601,-0.0033361644,-0.09428657,-53.48494840536354,0.013114108783942178,
000000000000000005c5_0,0.23093332,1,0.909699,0.48788443,-0.16290727,-1234.4946745959396,0.20441291317842825,0.625387,0.100869946,-0.23444976,-163.1535177732509,0.13915353215472734,33.676792,0.1824224,0.048700854,0.01889223,-51.30812726938667,0.028758750507105503,0.07892986,-1.5380082E-4,-0.01164025,21.49652458167947,0.0098207627809003,0.021855652,0.0017499971,-0.06589065,-34.20262061194446,0.009330163612989075,
000000000000000005c6_0,0.027109155,1,0.81625444,0.37893984,0.07477477,-496.89155112651804,0.15321456833831135,0.6742671,0.31711742,-0.027283512,253.07817162319333,0.1333521232866181,31.250944,0.16747284,0.048021615,0.01066141,-33.942274065175184,0.028988742523355954,0.04725712,0.007107255,-0.01549824,13.64807746958827,0.009169037845979484,0.004982515,-0.0057018246,-0.080101684,-11.645517183040122,0.013384577439183134,
000000000000000005c7_0,0.11908902,1,0.9345238,0.54647255,0.06155076,-696.5495144518418,0.2115145263628872,0.53125,0.019120283,-0.36301368,598.1322334724184,0.17933122340725888,5.4332833,0.23895474,0.054927584,0.02198672,4.818488400088799,0.032749910551952616,0.01998829,-0.0051307715,-0.0292363,26.171360689598366,0.007380782002612004,0.01752311,0.0026192882,-0.09702895,-23.645531071133874,0.013035626115673634,
000000000000000005c9_0,0.20872836,1,0.9442509,0.46707132,-0.055555556,-428.413215308965,0.23145750432362955,0.68328446,-0.028171847,-0.4258373,275.4550899045608,0.1700110472047441,5.60641,0.1402021,0.049758285,0.01808891,-28.210336436611612,0.026849281098288214,0.01492344,-0.007793318,-0.03788189,19.219916389933143,0.006556931365899429,0.019487815,0.0015086555,-0.039105754,3.0460762522853972,0.009162804011994163,
000000000000000005ca_0,0.22589941,1,0.94634145,0.4132348,0.03846154,-363.18890766413347,0.15366084051552403,0.68421054,0.14061058,-0.11746032,87.82799554959702,0.11274816231794846,12.55781,0.1531551,0.055685245,0.02126452,-24.98143434277447,0.027271234684161656,0.02904894,7.758545E-4,-0.00898135,8.212757608262676,0.00545138394796978,0.015105764,-6.2643294E-4,-0.03664612,-9.47690600697098,0.007367458334410668,
000000000000000005cb_0,0.23600033,1,0.79607844,0.3761623,0.052095573,-461.56027119676384,0.15280271383980967,0.794948,0.29434833,0.07317073,399.11865825794706,0.11548158349497681,24.508358,0.24734499,0.05648399,0.01794316,-98.52162030936323,0.04020476481748328,0.05462027,0.007235207,-0.00400956,7.930475208571676,0.008847747951367632,0.010665291,-0.0064178826,-0.11582658,9.710864894859336,0.01738164126112411,
000000000000000005cc_0,0.18547864,1,0.8969697,0.55720687,0.21654502,-200.37283167698286,0.16937469436664926,0.54650134,0.07883686,-0.27327326,1454.9464434830977,0.16962948436159395,19.223177,0.14505707,0.052482776,0.02262519,130.21163304265548,0.022934799884789497,0.05604564,5.6972523E-4,-0.01474207,118.33663286247453,0.011833971473977165,0.017667945,0.004556893,-0.010523421,-3.116395684511752,0.0052363748796904275,
000000000000000005cd_0,0.030678667,1,0.8918919,0.5311721,-0.15178572,-733.822385704375,0.1890930837526618,0.3939394,-0.022705164,-0.41666666,4.362717188569097,0.14893923663501443,5.60624,0.1923522,0.051344246,0.02197531,-76.28963044803308,0.02744654708323805,0.0110542,-0.005658412,-0.01843118,2.944070786517366,0.005336378905977645,0.017263819,0.003616316,-0.07839267,-6.735879556460468,0.010240605146082465,
